ID,CASRN,Name,ChemSpiderID,MolecularFormula,VerticeSet,EdgeSet,NumHydrogenSet,amine,nitrile,imine,sulfide,thiol,halide_F,halide_Cl,halide_Br,halide_I,phosphate,alcohol,carboxylic_acid,acid_halide_F,acid_halide_Cl,acid_halide_Br,ester,anhydride,imide_0,imide_1,amide_0,amide_1,amide_2,isocyanate,aldehyde,ketone,benzene
27,51-21-8,Fluorouracil,3268,C4H3FN2O2,"['F1', 'C1', 'C2', 'N1', 'C3', 'O1', 'N2', 'C4', 'O2']","[('F1', 'C1'), ('C1', 'C2'), ('C1', 'C2'), ('C1', 'C4'), ('C2', 'N1'), ('N1', 'C3'), ('C3', 'O1'), ('C3', 'O1'), ('C3', 'N2'), ('N2', 'C4'), ('C4', 'O2'), ('C4', 'O2')]","[0, 0, 1, 1, 0, 0, 1, 0, 0]",,,,,,,,,,,,,,,,,,,,,,,,,,
29,51-36-5,"3,5-Dichlorobenzoic acid",5606,C7H4Cl2O2,"['O1', 'C1', 'O2', 'C2', 'C3', 'C4', 'Cl1', 'C5', 'C6', 'Cl2', 'C7']","[('O1', 'C1'), ('C1', 'O2'), ('C1', 'O2'), ('C1', 'C2'), ('C2', 'C3'), ('C2', 'C7'), ('C2', 'C7'), ('C3', 'C4'), ('C3', 'C4'), ('C4', 'Cl1'), ('C4', 'C5'), ('C5', 'C6'), ('C5', 'C6'), ('C6', 'Cl2'), ('C6', 'C7')]","[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,
30,51-39-8,"3,4,5-trichlorobenzoicacid",5607,C7H3Cl3O2,"['O1', 'C1', 'O2', 'C2', 'C3', 'C4', 'Cl1', 'C5', 'Cl2', 'C6', 'Cl3', 'C7']","[('O1', 'C1'), ('C1', 'O2'), ('C1', 'O2'), ('C1', 'C2'), ('C2', 'C3'), ('C2', 'C7'), ('C2', 'C7'), ('C3', 'C4'), ('C3', 'C4'), ('C4', 'Cl1'), ('C4', 'C5'), ('C5', 'Cl2'), ('C5', 'C6'), ('C5', 'C6'), ('C6', 'Cl3'), ('C6', 'C7')]","[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,
31,51-43-4,Epinephrine,5611,C9H13NO3,"['O1', 'O2', 'O3', 'N1', 'C1', 'C2', 'C3', 'C4', 'C5', 'C6', 'C7', 'C8', 'C9']","[('O1', 'C2'), ('O2', 'C3'), ('C5', 'O3'), ('N1', 'C8'), ('N1', 'C9'), ('C1', 'C4'), ('C1', 'C5'), ('C1', 'C6'), ('C1', 'C6'), ('C2', 'C3'), ('C2', 'C4'), ('C2', 'C4'), ('C3', 'C7'), ('C3', 'C7'), ('C5', 'C8'), ('C6', 'C7')]","[1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 2, 3]",,,,,,,,,,,,,,,,,,,,,,,,,,
32,51-44-5,"3,4-Dichlorobenzoic acid",5612,C7H4Cl2O2,"['O1', 'C1', 'O2', 'C2', 'C3', 'C4', 'C5', 'Cl1', 'C6', 'Cl2', 'C7']","[('O1', 'C1'), ('C1', 'O2'), ('C1', 'O2'), ('C1', 'C2'), ('C2', 'C3'), ('C2', 'C7'), ('C2', 'C7'), ('C3', 'C4'), ('C3', 'C4'), ('C4', 'C5'), ('C5', 'Cl1'), ('C5', 'C6'), ('C5', 'C6'), ('C6', 'Cl2'), ('C6', 'C7')]","[1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,
33,51-45-6,Histamine,753,C5H9N3,"['N1', 'C1', 'C2', 'C3', 'C4', 'N2', 'C5', 'N3']","[('N1', 'C1'), ('C1', 'C2'), ('C2', 'C3'), ('C3', 'C4'), ('C3', 'C4'), ('C3', 'N3'), ('C4', 'N2'), ('N2', 'C5'), ('C5', 'N3'), ('C5', 'N3')]","[2, 2, 2, 0, 1, 1, 1, 0]",,,,,,,,,,,,,,,,,,,,,,,,,,
34,51-48-9,Levothyroxine,5614,C15H11I4NO4,"['O1', 'C1', 'O2', 'C2', 'C3', 'C4', 'C5', 'C6', 'I1', 'C7', 'C8', 'C9', 'I2', 'O3', 'C10', 'C11', 'C12', 'I3', 'C13', 'C14', 'C15', 'I4', 'O4', 'N1']","[('O1', 'C1'), ('C1', 'O2'), ('C1', 'O2'), ('C1', 'C2'), ('C2', 'C3'), ('C2', 'N1'), ('C3', 'C4'), ('C4', 'C5'), ('C4', 'C9'), ('C4', 'C9'), ('C5', 'C6'), ('C5', 'C6'), ('C6', 'I1'), ('C6', 'C7'), ('C7', 'C8'), ('C7', 'C8'), ('C7', 'O3'), ('C8', 'C9'), ('C8', 'I2'), ('O3', 'C10'), ('C10', 'C11'), ('C10', 'C15'), ('C10', 'C15'), ('C11', 'C12'), ('C11', 'C12'), ('C12', 'I3'), ('C12', 'C13'), ('C13', 'C14'), ('C13', 'C14'), ('C13', 'O4'), ('C14', 'C15'), ('C14', 'I4')]","[1, 0, 0, 1, 2, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,
35,51-52-5,Propylthiouracil,571424,C7H10N2OS,"['S1', 'C1', 'N1', 'N2', 'C2', 'C3', 'C4', 'C5', 'C6', 'C7', 'O1']","[('S1', 'C1'), ('S1', 'C1'), ('C1', 'N1'), ('C1', 'N2'), ('N1', 'C7'), ('N2', 'C2'), ('C2', 'C3'), ('C2', 'C6'), ('C2', 'C6'), ('C3', 'C4'), ('C4', 'C5'), ('C6', 'C7'), ('C7', 'O1'), ('C7', 'O1')]","[0, 0, 1, 1, 0, 2, 2, 3, 1, 0, 0]",,,,,,,,,,,,,,,,,,,,,,,,,,
36,51-55-8,Atropine,10194105,C17H23NO3,"['O1', 'O2', 'O3', 'N1', 'C1', 'C2', 'C3', 'C4', 'C5', 'C6', 'C7', 'C8', 'C9', 'C10', 'C11', 'C12', 'C13', 'C14', 'C15', 'C16', 'C17']","[('C3', 'O1'), ('O1', 'C9'), ('O2', 'C9'), ('O2', 'C9'), ('O3', 'C12'), ('N1', 'C1'), ('N1', 'C2'), ('N1', 'C8'), ('C1', 'C4'), ('C1', 'C6'), ('C2', 'C5'), ('C2', 'C7'), ('C3', 'C4'), ('C3', 'C5'), ('C6', 'C7'), ('C9', 'C10'), ('C10', 'C11'), ('C10', 'C12'), ('C11', 'C13'), ('C11', 'C13'), ('C11', 'C14'), ('C13', 'C15'), ('C14', 'C16'), ('C14', 'C16'), ('C15', 'C17'), ('C15', 'C17'), ('C16', 'C17')]","[0, 0, 1, 0, 1, 1, 1, 2, 2, 2, 2, 3, 0, 1, 0, 2, 1, 1, 1, 1, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,
37,51-64-9,Dextroamphetamine,5621,C9H13N,"['N1', 'C1', 'C2', 'C3', 'C4', 'C5', 'C6', 'C7', 'C8', 'C9']","[('C5', 'N1'), ('C1', 'C2'), ('C1', 'C3'), ('C1', 'C3'), ('C1', 'C4'), ('C2', 'C5'), ('C3', 'C6'), ('C4', 'C7'), ('C4', 'C7'), ('C5', 'C9'), ('C6', 'C8'), ('C6', 'C8'), ('C7', 'C8')]","[2, 0, 2, 1, 1, 1, 1, 1, 1, 3]",,,,,,,,,,,,,,,,,,,,,,,,,,
