molecule_id,chemSpiderId,len_molecule,valid_prob,sol_prob,d_min,d_min_cl,find_rate
1903,13884495,5,0.551598,0.254416,1.6666666666666667,1.6666666666666667,1.0
3327,9250,5,0.952917,0.943894,1.4142135623730951,1.4142135623730951,1.0
458,6317,5,0.705612,0.661362,1.6666666666666667,1.6666666666666667,1.0
1894,7711,5,0.712032,0.223514,1.4142135623730951,1.4142135623730951,1.0
337,6157,5,0.8904,0.881063,1.4142135623730951,1.4142135623730951,1.0
3326,9249,5,0.942951,0.940705,1.4142135623730951,1.4142135623730951,1.0
1893,7710,5,0.71396,0.65627,1.6666666666666667,1.6666666666666667,1.0
472,6334,5,0.80365,0.702204,1.4142135623730951,1.4142135623730951,1.0
150,3168,5,0.863174,0.735377,1.4142135623730951,1.4142135623730951,1.0
1914,7732,5,0.790243,0.250404,1.4142135623730951,1.4142135623730951,1.0
488,2058248,6,0.741422,0.661977,1.3333333333333335,1.3333333333333335,1.0
1770,7606,6,0.954843,0.77871,1.3333333333333335,1.3333333333333335,1.0
1776,234,6,0.916482,0.787183,1.3333333333333335,1.3333333333333335,1.0
487,6346,6,0.951449,0.611715,1.3333333333333335,1.3333333333333335,1.0
3231,582,6,0.853119,0.752196,1.3333333333333335,1.3333333333333335,1.0
1170,2070,6,0.568093,0.052182,1.3333333333333335,1.3333333333333335,1.0
1781,59443,6,0.971236,0.573086,1.3333333333333335,1.3333333333333335,1.0
2209,66243,6,0.917494,0.707537,1.3333333333333335,1.3333333333333335,1.0
2168,61591,6,0.911421,0.718168,1.3333333333333335,1.3333333333333335,1.0
2136,64234,6,0.849185,0.722741,1.3333333333333335,1.3333333333333335,1.0
2173,10341,6,0.901657,0.616916,1.4142135623730951,1.4142135623730951,1.0
1147,7010,6,0.937545,0.924261,1.4142135623730951,1.4142135623730951,1.0
490,56121,6,0.843142,0.658182,1.4142135623730951,1.4142135623730951,1.0
1956,7765,6,0.816476,0.797934,1.6666666666666667,1.6666666666666667,1.0
486,6345,6,0.339542,0.339542,2.23606797749979,2.23606797749979,1.0
1168,7029,6,0.801214,0.78364,1.6666666666666667,1.6666666666666667,1.0
194,59525,6,0.973062,0.965457,1.4142135623730951,1.4142135623730951,1.0
342,6163,6,0.955312,0.953884,1.4142135623730951,1.4142135623730951,1.0
1983,7788,6,0.815668,0.693904,1.6666666666666667,1.6666666666666667,1.0
1989,60330,6,0.903013,0.903013,1.6666666666666667,1.6666666666666667,1.0
1785,7620,7,0.995252,0.849412,1.3333333333333335,1.3333333333333335,1.0
1889,30037,7,0.948099,0.885917,1.3333333333333335,1.3333333333333335,1.0
70,5736,7,0.725171,0.023212,1.3333333333333335,1.3333333333333335,1.0
1888,1266393,7,0.937019,0.049385,1.3333333333333335,1.3333333333333335,1.0
2228,3320,7,0.833411,0.078345,1.3333333333333335,1.3333333333333335,1.0
1790,89452,7,0.997352,0.910693,1.3333333333333335,1.3333333333333335,1.0
1862,7690,7,0.763083,0.013046,1.3333333333333335,1.3333333333333335,1.0
2028,7821,7,0.952351,0.203573,1.3333333333333335,1.3333333333333335,1.0
3408,9389,7,0.605627,0.007237,1.3333333333333335,1.3333333333333335,1.0
3263,64231,7,0.928035,0.89189,1.3333333333333335,1.3333333333333335,1.0
215,5949,7,0.875326,0.134098,1.4142135623730951,1.4142135623730951,1.0
2387,7963,7,0.948469,0.897574,1.4142135623730951,1.4142135623730951,1.0
399,21106033,7,0.977388,0.975239,1.4142135623730951,1.4142135623730951,1.0
1597,13867413,7,0.592241,0.013757,1.4142135623730951,1.4142135623730951,1.0
1596,83714,7,0.597345,0.084044,1.6666666666666667,1.6666666666666667,1.0
3334,9254,7,0.473916,0.024746,1.9436506316151003,1.9436506316151003,1.0
2598,8159,7,0.931283,0.896059,1.4142135623730951,1.4142135623730951,1.0
2729,21106561,7,0.929127,0.891692,1.6666666666666667,1.6666666666666667,1.0
3331,55055,7,0.598076,0.387961,1.9436506316151003,1.9436506316151003,1.0
1891,7706,7,0.933539,0.833792,1.4142135623730951,1.4142135623730951,1.0
1812,13836283,8,1.0,0.999927,1.3333333333333335,1.3333333333333335,1.0
2734,13835579,8,1.0,0.999873,1.3333333333333335,1.3333333333333335,1.0
1685,13835179,8,1.0,0.999983,1.3333333333333335,1.3333333333333335,1.0
1811,13860692,8,1.0,0.996701,1.3333333333333335,1.3333333333333335,1.0
2714,4575589,8,1.0,0.999898,1.3333333333333335,1.3333333333333335,1.0
2690,392,8,1.0,0.999942,1.3333333333333335,1.3333333333333335,1.0
2925,21111815,8,1.0,0.999972,1.3333333333333335,1.3333333333333335,1.0
3229,8962,8,1.0,0.986582,1.3333333333333335,1.3333333333333335,1.0
405,6257,8,1.0,0.999986,1.3333333333333335,1.3333333333333335,1.0
271,6051,8,1.0,0.986047,1.3333333333333335,1.3333333333333335,1.0
2054,13876621,8,1.0,0.999957,1.6666666666666667,1.6666666666666667,1.0
2720,29012,8,1.0,0.999689,1.4142135623730951,1.4142135623730951,1.0
1672,13868640,8,1.0,0.999905,1.9436506316151003,1.9436506316151003,1.0
2622,21159479,8,1.0,0.999952,1.4142135623730951,1.4142135623730951,1.0
1677,7521,8,1.0,0.999933,1.4142135623730951,1.4142135623730951,1.0
2059,7840,8,1.0,0.999796,1.4142135623730951,1.4142135623730951,1.0
1613,13856579,8,1.0,0.999669,1.4142135623730951,1.4142135623730951,1.0
1683,13875219,8,1.0,0.999969,1.9436506316151003,1.9436506316151003,1.0
2924,21105999,8,1.0,0.999946,1.4142135623730951,1.4142135623730951,1.0
3410,9392,8,1.0,1.0,2.23606797749979,2.23606797749979,1.0
51,2241,9,0.526228,0.043594,1.3333333333333335,1.3333333333333335,1.0
1834,7667,9,0.658208,0.554529,1.3333333333333335,1.3333333333333335,1.0
1561,7433,9,0.834465,0.695705,1.3333333333333335,1.3333333333333335,1.0
63,5729,9,0.826666,0.570676,1.3333333333333335,1.3333333333333335,1.0
1136,6994,9,0.633995,0.324249,1.3333333333333335,1.3333333333333335,1.0
2223,411,9,0.589637,0.28121,1.3333333333333335,1.3333333333333335,1.0
1350,59406,9,0.654585,0.340358,1.3333333333333335,1.3333333333333335,1.0
855,13860775,9,0.72757,0.628802,1.3333333333333335,1.3333333333333335,1.0
3379,9298,9,0.800596,0.698696,1.3333333333333335,1.3333333333333335,1.0
37,2798,9,0.585273,0.082402,1.3333333333333335,1.3333333333333335,1.0
20,3268,9,0.494109,0.325096,1.6666666666666667,1.6666666666666667,1.0
1139,1668,9,0.410386,0.269062,1.9436506316151003,1.9436506316151003,1.0
2676,28982,9,0.743583,0.572508,1.4142135623730951,1.4142135623730951,1.0
423,59605,9,0.729582,0.359538,1.4142135623730951,1.4142135623730951,1.0
397,6246,9,0.741319,0.688592,1.4142135623730951,1.4142135623730951,1.0
1695,60300,9,0.909495,0.892459,1.4142135623730951,1.4142135623730951,1.0
3018,8514,9,0.574149,0.108286,1.4142135623730951,1.4142135623730951,1.0
2674,28981,9,0.820525,0.764657,1.4142135623730951,1.4142135623730951,1.0
3192,13881169,9,0.417531,0.024365,1.6666666666666667,1.6666666666666667,1.0
1353,21106135,9,0.594147,0.295738,1.4142135623730951,1.4142135623730951,1.0
2492,60402,10,0.707216,0.354009,1.3333333333333335,1.3333333333333335,1.0
1441,1549,10,0.466194,0.020822,1.3333333333333335,1.3333333333333335,1.0
1082,60127,10,0.822509,0.239123,1.3333333333333335,1.3333333333333335,1.0
276,185,10,0.628605,0.030043,1.3333333333333335,1.3333333333333335,1.0
2286,63911,10,0.648742,0.029113,1.3333333333333335,1.3333333333333335,1.0
1442,21106028,10,0.712332,0.036469,1.3333333333333335,1.3333333333333335,1.0
3164,8722,10,0.636765,0.085927,1.3333333333333335,1.3333333333333335,1.0
1068,21106580,10,0.688934,0.5137,1.3333333333333335,1.3333333333333335,1.0
