molecule_id,chemSpiderId,len_molecule,valid_prob,sol_prob,d_min,d_min_cl,find_rate
3410,9392,8,0.898815,0.885967,1.2018504251546631,1.2018504251546631,1.0
2075,7857,9,0.817236,0.771338,0.0,0.0,1.0
2078,7859,9,0.881137,0.658452,0.0,0.0,1.0
2675,60497,9,0.89454,0.830409,0.0,0.0,1.0
2977,13839308,9,0.853009,0.6486,0.0,0.0,1.0
3457,61172,9,0.849915,0.334328,0.0,0.0,1.0
3472,61197,9,0.858898,0.706207,0.0,0.0,1.0
3494,61223,9,0.855857,0.570352,0.0,0.0,1.0
1574,7443,9,0.905397,0.65054,0.6666666666666667,0.6666666666666667,1.0
1124,6983,9,0.863344,0.753389,1.0540925533894598,1.0540925533894598,1.0
1698,7533,9,0.794079,0.612787,1.4142135623730951,1.4142135623730951,1.0
2580,89359,9,0.852786,0.603616,0.7453559924999299,0.7453559924999299,1.0
1268,911,9,0.823749,0.530454,0.4714045207910317,0.4714045207910317,1.0
1996,7796,9,0.85216,0.5666,1.2909944487358058,1.2909944487358058,1.0
1260,7128,9,0.894999,0.41711,1.1055415967851334,1.1055415967851334,1.0
746,13864445,9,0.906921,0.45754,1.0540925533894598,1.0540925533894598,1.0
1139,1668,9,0.830086,0.292442,1.0540925533894598,1.0540925533894598,1.0
3386,9327,9,0.82472,0.339874,0.9428090415820634,0.9428090415820634,1.0
402,6254,10,0.88879,0.550012,0.0,0.0,1.0
890,6775,10,0.875402,0.396514,0.0,0.0,1.0
1584,59433,10,0.870473,0.147262,0.0,0.0,1.0
2981,211145,10,0.857495,0.32493,0.0,0.0,1.0
3283,21171398,10,0.874598,0.187177,0.0,0.0,1.0
2574,8138,10,0.922812,0.565403,0.33333333333333337,0.33333333333333337,1.0
3073,8568,10,0.823355,0.426711,1.0540925533894598,1.0540925533894598,1.0
1008,6878,10,0.932809,0.217051,1.1055415967851334,1.1055415967851334,1.0
619,6480,10,0.940198,0.778772,0.7453559924999299,0.7453559924999299,1.0
2988,8488,10,0.900658,0.70568,0.9428090415820634,0.9428090415820634,1.0
3473,9451,10,0.833958,0.305686,0.33333333333333337,0.33333333333333337,1.0
3448,61164,10,0.826669,0.408983,1.0540925533894598,1.0540925533894598,1.0
2907,8356,10,0.807687,0.476673,1.1055415967851334,1.1055415967851334,1.0
3209,8910,10,0.879667,0.835028,1.5275252316519465,1.5275252316519465,1.0
1063,6931,10,0.890479,0.29931,1.0540925533894598,1.0540925533894598,1.0
1546,59422,11,0.90022,0.299749,0.0,0.0,1.0
2874,8319,11,0.871663,0.351937,0.9428090415820634,0.9428090415820634,1.0
545,6419,11,0.925052,0.282818,1.0540925533894598,1.0540925533894598,1.0
2979,21106001,11,0.879843,0.023476,1.0540925533894598,1.0540925533894598,1.0
3501,55064,11,0.889498,0.878441,1.2018504251546631,1.2018504251546631,1.0
1028,56132,11,0.91696,0.268563,0.6666666666666667,0.6666666666666667,1.0
1436,60248,11,0.952503,0.563184,0.7453559924999299,0.7453559924999299,1.0
1553,7425,11,0.925306,0.556378,1.1055415967851334,1.1055415967851334,1.0
1375,7278,11,0.820298,0.135738,1.0540925533894598,1.0540925533894598,1.0
1521,1906,11,0.909282,0.683653,0.7453559924999299,0.7453559924999299,1.0
1280,7157,11,0.854494,0.420497,1.0540925533894598,1.0540925533894598,1.0
707,6585,12,0.858531,0.371637,0.0,0.0,1.0
1047,60114,12,0.829537,0.468521,0.0,0.0,1.0
1076,60124,12,0.840679,0.555234,0.0,0.0,1.0
3412,61125,12,0.865991,0.287767,0.0,0.0,1.0
3569,61310,12,0.889762,0.256472,0.0,0.0,1.0
2330,7890,12,0.861873,0.771888,1.5275252316519465,1.5275252316519465,1.0
796,6671,12,0.935008,0.617365,1.0540925533894598,1.0540925533894598,1.0
2810,8215,12,0.856965,0.2488,1.0540925533894598,1.0540925533894598,1.0
10,5576,12,0.911151,0.874241,1.2909944487358058,1.2909944487358058,1.0
1763,218463,12,0.875894,0.537768,1.2472191289246473,1.2472191289246473,1.0
624,59892,12,0.857072,0.28407,1.0540925533894598,1.0540925533894598,1.0
2063,7844,12,0.909984,0.49017,1.0540925533894598,1.0540925533894598,1.0
1235,60180,12,0.909713,0.50084,0.9428090415820634,0.9428090415820634,1.0
813,992,12,0.952454,0.851829,1.0540925533894598,1.0540925533894598,1.0
2183,10358,12,0.921524,0.109223,0.9428090415820634,0.9428090415820634,1.0
2850,8277,13,0.852519,0.364791,0.0,0.0,1.0
3127,8647,13,0.922492,0.644783,0.0,0.0,1.0
3293,60924,13,0.940239,0.623554,0.0,0.0,1.0
1073,60122,13,0.902911,0.676527,0.9428090415820634,0.9428090415820634,1.0
926,6800,13,0.906551,0.329046,0.6666666666666667,0.6666666666666667,1.0
3277,60900,13,0.952129,0.805006,1.0540925533894598,1.0540925533894598,1.0
3160,8211584,13,0.936815,0.539781,1.2472191289246473,1.2472191289246473,1.0
2921,8386,13,0.960329,0.270444,1.0540925533894598,1.0540925533894598,1.0
2857,8291,13,0.938105,0.507167,1.0540925533894598,1.0540925533894598,1.0
1638,60292,13,0.932327,0.778678,0.9428090415820634,0.9428090415820634,1.0
2684,55016,13,0.935371,0.214092,1.0540925533894598,1.0540925533894598,1.0
18,58810,13,0.962239,0.725722,0.816496580927726,0.816496580927726,1.0
882,56128,13,0.861257,0.400441,1.1055415967851334,1.1055415967851334,1.0
648,6517,14,0.880456,0.722927,0.0,0.0,1.0
963,101585,14,0.872605,0.357483,0.0,0.0,1.0
1039,60110,14,0.89029,0.252006,0.0,0.0,1.0
3122,60693,14,0.951765,0.84523,0.0,0.0,1.0
1000,6872,14,0.967612,0.733611,1.0540925533894598,1.0540925533894598,1.0
2552,8120,14,0.975775,0.849931,1.0540925533894598,1.0540925533894598,1.0
1051,6925,14,0.867124,0.098696,1.0540925533894598,1.0540925533894598,1.0
3082,3756,14,0.933965,0.654601,1.0540925533894598,1.0540925533894598,1.0
1019,6889,14,0.836326,0.524237,0.7453559924999299,0.7453559924999299,1.0
699,6574,14,0.960716,0.45861,1.0540925533894598,1.0540925533894598,1.0
1485,553649,14,0.857767,0.483164,1.1055415967851334,1.1055415967851334,1.0
1423,54959,14,0.971496,0.447793,1.0540925533894598,1.0540925533894598,1.0
240,5997,14,0.858539,0.588683,1.1055415967851334,1.1055415967851334,1.0
988,60091,14,0.903948,0.230589,0.33333333333333337,0.33333333333333337,1.0
701,6576,15,0.871868,0.575661,0.0,0.0,1.0
2535,60427,15,0.936313,0.737848,0.0,0.0,1.0
2588,60476,15,0.845976,0.637814,1.0540925533894598,1.0540925533894598,1.0
2356,7917,15,0.973697,0.42303,1.4142135623730951,1.4142135623730951,1.0
2975,8462,15,0.963704,0.131466,1.0540925533894598,1.0540925533894598,1.0
503,88469,15,0.87035,0.3147,1.0540925533894598,1.0540925533894598,1.0
871,6751,15,0.951947,0.836345,1.0540925533894598,1.0540925533894598,1.0
1278,60195,15,0.912141,0.326117,0.9428090415820634,0.9428090415820634,1.0
2884,8331,15,0.89779,0.022479,1.0540925533894598,1.0540925533894598,1.0
873,6753,15,0.928023,0.083733,1.0540925533894598,1.0540925533894598,1.0
544,6418,15,0.93678,0.474654,0.9428090415820634,0.9428090415820634,1.0
989,6849,15,0.907637,0.460526,0.9428090415820634,0.9428090415820634,1.0
2536,60428,16,0.856566,0.408321,0.0,0.0,1.0
1478,59418,16,0.971058,0.789439,1.1055415967851334,1.1055415967851334,1.0
92,59522,16,0.987274,0.950392,0.7453559924999299,0.7453559924999299,1.0
653,13835294,16,0.978077,0.806251,1.0540925533894598,1.0540925533894598,1.0
1556,7427,16,0.970796,0.638279,1.1055415967851334,1.1055415967851334,1.0
1669,7513,16,0.965821,0.437571,1.0540925533894598,1.0540925533894598,1.0
3241,388363,16,0.993658,0.880002,0.4714045207910317,0.4714045207910317,1.0
1624,4436356,16,0.982875,0.884864,1.0540925533894598,1.0540925533894598,1.0
148,84450,16,0.993761,0.985697,0.9428090415820634,0.9428090415820634,1.0
2591,60482,16,0.99179,0.680094,0.9428090415820634,0.9428090415820634,1.0
3179,8800,16,0.850398,0.385846,1.0540925533894598,1.0540925533894598,1.0
704,59947,17,0.864688,0.49249,0.9428090415820634,0.9428090415820634,1.0
2586,8144,17,0.777816,0.52144,1.1055415967851334,1.1055415967851334,1.0
3102,5137,17,0.873241,0.806707,0.33333333333333337,0.33333333333333337,1.0
3103,5145,17,0.904905,0.003386,0.4714045207910317,0.4714045207910317,1.0
901,6783,17,0.817559,0.298785,0.6666666666666667,0.6666666666666667,1.0
1867,4515295,17,0.708037,0.143558,1.0540925533894598,1.0540925533894598,1.0
1038,6912,17,0.868898,0.244581,1.0540925533894598,1.0540925533894598,1.0
2362,7921,17,0.819319,0.187415,1.3743685418725535,1.3743685418725535,1.0
2558,8126,17,0.849095,0.423729,1.0540925533894598,1.0540925533894598,1.0
2905,8355,17,0.830693,0.443805,0.7453559924999299,0.7453559924999299,1.0
734,56124,18,0.893032,0.539204,1.0540925533894598,1.0540925533894598,1.0
1656,54975,18,0.855004,0.20608,1.0540925533894598,1.0540925533894598,1.0
566,4511053,18,0.911878,0.740752,0.9428090415820634,0.9428090415820634,1.0
1180,3922,18,0.889778,0.58161,0.7453559924999299,0.7453559924999299,1.0
2796,5134,18,0.910619,0.643537,0.33333333333333337,0.33333333333333337,1.0
2732,29023,18,0.822625,0.233897,1.0540925533894598,1.0540925533894598,1.0
2434,8024,18,0.89264,0.487204,0.9428090415820634,0.9428090415820634,1.0
597,6452,18,0.862016,0.50076,1.0540925533894598,1.0540925533894598,1.0
2972,8459,18,0.903431,0.675975,0.7453559924999299,0.7453559924999299,1.0
2671,28977,18,0.85135,0.346335,1.1055415967851334,1.1055415967851334,1.0
1182,2313,19,0.891298,0.38602,1.0540925533894598,1.0540925533894598,1.0
1370,7266,19,0.87054,0.322245,0.33333333333333337,0.33333333333333337,1.0
2445,60373,19,0.895978,0.234234,1.0540925533894598,1.0540925533894598,1.0
581,6441,19,0.888325,0.567896,1.0540925533894598,1.0540925533894598,1.0
3058,8551,19,0.895286,0.166717,0.7453559924999299,0.7453559924999299,1.0
273,6055,19,0.850573,0.285567,0.33333333333333337,0.33333333333333337,1.0
647,59907,19,0.877519,0.201759,0.33333333333333337,0.33333333333333337,1.0
3354,61050,19,0.934887,0.581047,1.0540925533894598,1.0540925533894598,1.0
2893,8348,19,0.81922,0.390956,0.33333333333333337,0.33333333333333337,1.0
2908,60621,19,0.916161,0.667106,0.6666666666666667,0.6666666666666667,1.0
601,59163,20,0.876957,0.304822,0.9428090415820634,0.9428090415820634,1.0
1880,7698,20,0.869481,0.353113,1.0540925533894598,1.0540925533894598,1.0
364,6195,20,0.919755,0.889161,0.7453559924999299,0.7453559924999299,1.0
961,60078,20,0.907638,0.506996,0.6666666666666667,0.6666666666666667,1.0
2982,8481,20,0.872646,0.326494,1.1055415967851334,1.1055415967851334,1.0
2105,29149,20,0.866108,0.589748,0.9428090415820634,0.9428090415820634,1.0
1609,4938334,20,0.852579,0.418372,1.0540925533894598,1.0540925533894598,1.0
642,8234,20,0.917174,0.507615,1.0540925533894598,1.0540925533894598,1.0
1429,4517973,20,0.867995,0.355782,1.0540925533894598,1.0540925533894598,1.0
